number,namefrom_station_code,type,zonefrom_station_code,from_station_code,from_station_name,to_station_code,to_station_name,departure,arrival,duration_h,duration_m,distance,return_train,sleeper,third_ac,second_ac,first_ac,first_class,chair_car,code,namecode,zonecode,state,address,latitude,longitude
13017,Ganadevta Express,Exp,ER,HWH,HOWRAH JN,AZ,AZIMGANJ JN,06:05:00,13:05:00,7.0,0.0,278.0,13018,0,0,0,0,0,1,OEL,OEL,NER,Uttar Pradesh,"Oel, Uttar Pradesh",80.74816,27.819798
13018,Ganadevta Express,Exp,ER,AZ,AZIMGANJ JN,HWH,HOWRAH JN,15:30:00,21:45:00,6.0,15.0,278.0,13017,0,0,0,0,0,1,PD,PHARADAHAN,NER,Uttar Pradesh,"SH 21, Uttar Pradesh",80.631949,27.993457
13026,Bhopal-Howrah Express,Exp,ER,BPL,BHOPAL JN,HWH,HOWRAH JN,07:35:00,15:00:00,31.0,25.0,1459.0,13025,1,1,1,0,0,0,NSA,Nishangara,NER,Uttar Pradesh,"Uttar Pradesh, Uttar Pradesh",81.311271,28.112457
13024,Gaya-Howrah Express,Exp,ER,GAYA,GAYA JN,HWH,HOWRAH JN,12:10:00,03:40:00,15.0,30.0,654.0,13023,1,0,0,0,0,0,PNRA,PANIARA,NER,Uttar Pradesh,"National Highway 29, Uttar Pradesh",83.525851,25.902065
13117,Kolkata Berhampore Court Express,Exp,ER,KOAA,KOLKATA CHITPUR,BPC,Berhampore Court,20:30:00,00:20:00,3.0,50.0,182.0,13118,0,0,0,0,0,1,PLK,PALIA KALAN,NER,Uttar Pradesh,"Palia Kalan, Uttar Pradesh",80.582392,28.426644
13188,Rampurhat- Sealdah Express,Exp,ER,RPH,RAMPUR HAT,SDAH,KOLKATA SEALDAH,14:05:00,18:45:00,4.0,40.0,226.0,13187,0,0,0,0,0,1,MHBG,Mahadev Buzurg,NER,Uttar Pradesh,"Mahadeva Buzrug, Uttar Pradesh",82.87452,27.451001
13330,Ganga Damodar Express,Exp,ECR,PNBE,PATNA JN,DHN,DHANBAD JN,23:30:00,05:20:00,5.0,50.0,291.0,13329,1,1,1,0,0,0,RR,RICHHA ROAD,NER,Uttar Pradesh,"State Highway 37, Uttar Pradesh",79.488904,28.717269
13414,Farakka Express,Exp,ER,DLI,OLD DELHI,MLDT,MALDA TOWN,21:50:00,07:20:00,33.0,30.0,1416.0,13413,1,1,1,0,0,0,RCRA,Ramchaura,NER,Uttar Pradesh,"National Highway 29, Uttar Pradesh",83.26840578,26.9979518998
13504,Asansol-Sealdah InterCity Express,Exp,ER,ASN,ASANSOL JN,SDAH,KOLKATA SEALDAH,06:35:00,10:45:00,4.0,10.0,220.0,13503,0,0,0,0,0,0,PTPR,Pratabpur,NER,Uttar Pradesh,"Pilibhit, Uttar Pradesh",79.8145455212,28.4764188903
14085,Haryana Express,Exp,NR,TKJ,TILAK BRIDGE,SSA,Sirsa,18:00:00,00:30:00,6.0,30.0,264.0,14086,0,0,0,0,0,0,JSR,JASRA,NCR,Uttar Pradesh,"Jasra, Uttar Pradesh",81.774617,25.280002
14110,Kanpur Chitrakoot Express,Exp,NCR,CNB,KANPUR CENTRAL,CKTD,CHITRAKUTDHAM KARWI,10:00:00,14:35:00,4.0,35.0,213.0,14109,0,0,0,0,0,0,SAF,SALKHAPUR,NR,Uttar Pradesh,"Kathiravan Paramalpatti Rd, Uttar Pradesh",82.680471,25.655084
14119,Kathgodam Dehradun Express,Exp,NCR,KGM,KATHGODAM,DDN,DEHRADUN,19:45:00,04:20:00,8.0,35.0,335.0,14120,1,0,1,1,0,0,SKW,Sheikhupur,NER,Uttar Pradesh,"State Highway 33, Uttar Pradesh",79.10472999999999,28.003862
14124,Kanpur Pratapgarh InterCity Express,Exp,NCR,CNB,KANPUR CENTRAL,PBH,PARTAPGARH JN,17:35:00,22:50:00,5.0,15.0,245.0,14123,0,0,0,0,0,0,SFA,SANHERA HALT,NR,Uttar Pradesh,"Sunehra/Khekra, Uttar Pradesh",77.28233900000001,28.903375
14163,Sangam Express,Exp,NCR,ALD,ALLAHABAD JN,MTC,MEERUT CITY,17:45:00,06:40:00,12.0,55.0,639.0,14164,1,1,1,0,0,0,SD,SIDHAULI,NER,Uttar Pradesh,"Sidhauli, Uttar Pradesh",80.837587,27.281002
14206,Delhi-Faizabad Express,Exp,NR,DLI,OLD DELHI,FD,FAIZABAD JN,18:40:00,07:20:00,12.0,40.0,615.0,14205,1,1,1,0,0,0,SG,SHAHGARH,NER,Uttar Pradesh,"Pilibhit, Uttar Pradesh",80.043015,28.559235
14212,NewDelhi-Agra InterCity Express,Exp,NCR,NDLS,NEW DELHI,AGC,AGRA CANTT,17:40:00,21:50:00,4.0,10.0,195.0,14211,0,0,1,1,0,1,SDC,SAIDABAD,NER,Uttar Pradesh,"Handia, Uttar Pradesh",82.12019500000001,25.379137
14630,Firozpur Ludhiana Sutlej Express,Exp,NR,FZR,FIROZPUR CANT,LDH,LUDHIANA JN,17:20:00,19:55:00,2.0,35.0,124.0,14629,0,0,0,0,0,0,SWC,SHIVRAMPUR,NCR,Uttar Pradesh,"National Highway 76, Uttar Pradesh",80.82678299999999,25.219375000000003
15011,LUCKNOW - CHANDIGARH Exp,Exp,NER,LJN,LUCKNOW JN,CDG,CHANDIGARH,22:55:00,14:50:00,15.0,55.0,724.0,15012,1,0,1,0,0,0,DXK,DHANA KHERLI,NCR,Uttar Pradesh,"Fatehpur Sikri, Uttar Pradesh",77.53577899999999,26.950169
13103,Bhagirathi Express,Exp,ER,SDAH,KOLKATA SEALDAH,LGL,Lalgola,18:25:00,22:55:00,4.0,30.0,227.0,13104,0,0,0,0,0,1,FTS,FATEHPUR SIKRI,NCR,Uttar Pradesh,"Agra, Uttar Pradesh",77.670597,27.093989
13245,Capital Express,Exp,ECR,NJP,NEW JALPAIGURI,DNR,DANAPUR,14:40:00,04:50:00,14.0,10.0,501.0,13246,1,1,1,0,0,0,PTLI,PATHAULI,NCR,Uttar Pradesh,"Agra Fort, Uttar Pradesh",77.924593761,27.1568431942
14795,Ekta Express,Exp,NWR,BNW,Bhiwani,KLK,Kalka,04:30:00,11:10:00,6.0,40.0,299.0,14796,0,0,0,0,0,0,SW,SEHRAMAU,NER,Uttar Pradesh,"State Highway 21, Uttar Pradesh",80.296582,28.360763
14887-Slip,Kalka - Sriganganar Express (Slip),Exp,NR,KLK,Kalka,SGNR,SHRI GANGANAGAR,21:45:00,07:10:00,9.0,25.0,433.0,,1,1,1,0,0,0,GOT,GOT,NER,Uttar Pradesh,"MDR 65W, Uttar Pradesh",78.82300099999999,28.870965
14887S,KALKA BARMER Express Slip,Exp,?,KLK,Kalka,BME,BARMER,21:45:00,20:00:00,22.0,15.0,1117.0,14888,1,1,1,0,0,0,TKHA,TAKHA,NCR,Uttar Pradesh,"Takha, Uttar Pradesh",78.76725900000001,27.135743
15041,Farrukhabad Kasganj Express,Exp,NER,FBD,FARRUKHABAD,KSJ,KASGANJ,18:30:00,20:45:00,2.0,15.0,107.0,15040,0,0,0,0,0,0,TLR,Tulsipur,NER,Uttar Pradesh,"Tulasipur, Uttar Pradesh",82.4114096783,27.5317699289
15102,Mumbai CST Chhapra Jansadharan Express,Exp,NER,CSTM,MUMBAI CST,CPR,CHHAPRA,15:35:00,05:20:00,37.0,45.0,1973.0,15101,0,0,0,0,0,0,THBN,THANA BHAWAN,NR,Uttar Pradesh,"Thana Bhawan, Uttar Pradesh",77.4104337677,29.5926632114
15267,RAXAUL - MUMBAI LTT Jan Sadharan Exp,Exp,NER,RXL,RAXAUL JN,LTT,LOKMANYA TILAK TERM,16:55:00,06:15:00,37.0,20.0,1979.0,15268,0,0,0,0,0,0,UGP,UGARPUR,NCR,Uttar Pradesh,"Ugarpur, Uttar Pradesh",79.511652,27.351481
15283,Janaki Express,Exp,ECR,SHC,SAHARSA JN,JYG,JAYNAGAR,23:15:00,05:20:00,6.0,5.0,245.0,15284,1,1,0,0,0,0,AO,AONLA,NR,Uttar Pradesh,"Dist. Bareilly, Uttar Pradesh",79.16915,28.296051
15284,Janaki Express,Exp,ECR,JYG,JAYNAGAR,SHC,SAHARSA JN,23:30:00,05:40:00,6.0,10.0,245.0,15283,1,1,0,0,0,0,DBR,DABHAURA,NCR,Uttar Pradesh,"Dabhaura, Uttar Pradesh",81.30312500000001,25.11793
15606,Guwahati InterCity Express,Exp,NFR,MXN,MARIANI JN,GHY,GUWAHATI,18:30:00,04:35:00,10.0,5.0,405.0,15605,1,1,0,0,0,0,ALY,ALLAHABAD CITY,NER,Uttar Pradesh,"Allahabad(0532-1072), Uttar Pradesh",81.829736,25.44241
15639,PURI - GUWAHATI Exp,Exp,NFR,PURI,PURI,GHY,GUWAHATI,14:05:00,22:00:00,31.0,55.0,1528.0,15640,1,1,1,0,0,0,UCR,Unchahar Junction,NR,Uttar Pradesh,"Unchahar, Uttar Pradesh",81.30014299999999,25.902315
16032,Andaman Express,Exp,SR,JAT,JAMMU TAWI,MAS,CHENNAI CENTRAL,23:45:00,10:10:00,58.0,25.0,2800.0,16031,1,1,0,0,0,0,CM,Campierganj,NER,Uttar Pradesh,"National Highway 29, Uttar Pradesh",83.267384,27.05777
16108,Mangalore Chennai Egmore Express,Exp,SR,MAQ,MANGALORE CNTL,MS,CHENNAI EGMORE,06:50:00,05:05:00,22.0,15.0,983.0,16107,1,1,1,1,0,0,BBLK,B L DASPURI,NCR,Uttar Pradesh,"B L Daspuri, Uttar Pradesh",79.36351860779999,27.3169993559
16128,GURUVAYUR - CHENNAI EGMORE Exp,Exp,SR,GUV,GURUVAYUR,MS,CHENNAI EGMORE,20:50:00,21:15:00,24.0,25.0,1100.0,16127,1,1,1,0,0,0,ASI,Arseni,NR,Uttar Pradesh,"MORADABAD, Uttar Pradesh",80.39386,27.243104
16178,Rock Fort (Malai Kottai) Express,Exp,SR,KMU,KUMBAKONAM,MS,CHENNAI EGMORE,19:55:00,05:15:00,9.0,20.0,425.0,16177,1,1,1,1,1,0,BFG,Bagthar,NCR,Uttar Pradesh,"Bandh, Uttar Pradesh",77.52218902999999,26.79623183
16322,Tiruvananthapuram Bangalore Weekly Express,Exp,SR,TVC,TRIVANDRUM CENTRAL,SBC,BANGALORE CITY JN,16:05:00,08:35:00,16.0,30.0,843.0,16321,1,1,1,0,0,0,ANDN,Anand Nagar,NER,Uttar Pradesh,"Pharenda, Uttar Pradesh",83.270698,27.103714
16529,Udyan Express,Exp,SWR,CSTM,MUMBAI CST,SBC,BANGALORE CITY JN,08:05:00,08:50:00,24.0,45.0,1153.0,16530,1,1,1,1,0,0,BJV,Bijauria,NER,Uttar Pradesh,"Bareilly, Uttar Pradesh",79.65527399999999,28.574785
16530,Udyan Express,Exp,SWR,SBC,BANGALORE CITY JN,CSTM,MUMBAI CST,20:10:00,19:50:00,23.0,40.0,1153.0,16529,1,1,1,1,0,0,BHJ,Barhaj Bazar,NER,Uttar Pradesh,"Barhaj, Uttar Pradesh",83.731497,26.283912
16518,Kannur-Yesvantpur Express,Exp,SWR,CAN,KANNUR,YPR,YESVANTPUR JN,16:45:00,07:40:00,14.0,55.0,640.0,16517,1,1,1,0,0,0,AWG,Awa Garh,NCR,Uttar Pradesh,"Awagarh, Uttar Pradesh",78.47340000000001,27.464247
16520,BANGALORE - JOLARPETTAI Exp,Exp,SWR,SBC,BANGALORE CITY JN,JTJ,JOLARPETTAI,17:30:00,20:50:00,3.0,20.0,145.0,16519,0,0,0,0,0,0,SBK,SHAHBAZ KULI,NER,Uttar Pradesh,"Shahbaz Quli, Uttar Pradesh",83.67465299999999,25.632101
16591,Hampi Express,Exp,SWR,UBL,HUBLI JN,SBC,BANGALORE CITY JN,18:00:00,06:10:00,12.0,10.0,567.0,16592,1,1,1,1,0,0,BDHP,BHUDPUR,NR,Uttar Pradesh,"State Highway 57, Uttar Pradesh",77.29116829590001,29.218093878
